,Reference,Year.published,Publication,Type.of.study,Year.study,Season,Location,Island.or.Mainland,Density..rats.ha...Mean..or.estimate..and.range,Mean.probability.survival.to.next.season,Dispersal.distance..metres.,Sex.ratio..female.male.,Sex.of.dispersers,Density.dependence,Male.home.range..ha..mean.and.range.,Female.home.range..ha..mean.and.range.,Movement.speed..metres.min..mean.and.range.,Number.of.embryos..mean.and.range.,Number.of.placental.scars..mean.and.range.,spp
1,Blackwell et al. ,2001,Ecological Modelling,Model,NA,NA,,,,NA,NA,,NA,NA,NA,NA,NA,2.4/female/month (non-mast years) & 2.9/female/month (mast years),NA,mice
27,Blackwell et al. ,2001,Ecological Modelling,Model,NA,NA,NA,Mainland,,NA,NA,,,,,,,0.8/female/month (non-mast years) & 1.4/female/month (mast years),,Srat
45,Innes et al.,2001,NZJE,Original research,1983-1987,All,Pureora Forest,Mainland,,NA,NA,1:01,,,,,,5.33 (SD = 1.2),,Srat
85,Innes et al. ,2001,NZJE,Original research,1983-1987,All,Pureora Forest,Mainland,,NA,,1:01,NA,NA,,NA,,6.5 (4-8),,Nrat
17,Ruscoe et al. (2001) -  Cited in Ruscoe et al (2004),2001,NA,Original research,1999,Summer,Eglinton Valley,Mainland,Range: 12-30,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
3,Efford,2004,Oikos,Original research,1981-1982,All,Mana Island,Island,31.2 (SE = 7.1),NA,NA,,NA,NA,NA,NA,NA,,NA,mice
16,Ruscoe et al.,2004,NZJE,Original research,2002-2003,All,Waitutu Forest & Crombie Stream,Mainland,Range: 8-28,NA,NA,,NA,NA,NA,NA,NA,,NA,mice
53,Mackay & Russell (2005) - Cited in Table 3 of Harper & Rutherford,2005,NA,Original research,NA,Autumn-Winter,Goat Island,Island,3.3,NA,NA,,,,,,,,,Srat
54,Mackay (2005) - Cited in Table 3 of Harper & Rutherford,2005,NA,Original research,NA,Autumn,Motutapere Island,Island,2.5,NA,NA,,,,,,,,,Srat
55,Mackay (2005) - Cited in Table 3 of Harper & Rutherford,2005,NA,Original research,NA,Autumn,Tawhitinui Island,Island,2.6,NA,NA,,,,,,,,,Srat
62,Pryde et al,2005,NZJE,Original research,1996 & 2000,Summer,Eglington Valley,Mainland,,NA,NA,,,,9.43 (7.51-11.35),0.27,,,,Srat
